Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Runs,Yards,EYds Rank,EYds,TD,FUM,Suc Rate Rank,Suc Rate
T. Homer,SEA,-41,-31,-50.5%,-40.5%,25,88,17,0,0
T. Coleman,SF,-43,-57,-47.0%,-59.1%,28,53,27,0,0
K. Ballage,2TM,-49,-12,-19.2%,-11.3%,91,303,316,3,1
J. Howard,2TM,-51,-34,-36.7%,-27.5%,35,60,73,4,0
D. Johnson,HOU,-117,-86,-45.1%,-35.5%,77,235,85,1,2

Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM
A. Kamara,NO,1,195,1,194,11,19.1%,11,18.9%,107,756,1,825,5,24,78%,0
N. Hines,IND,2,158,2,173,5,23.7%,4,27.2%,76,482,2,627,4,8,83%,0
K. Hunt,CLE,3,148,6,122,3,35.1%,5,26.5%,51,304,5,521,6,29,75%,1
M. Gaskin,MIA,4,137,4,134,1,37.8%,1,36.8%,47,388,8,472,2,4,87%,0
C. Edmonds,ARI,5,135,5,128,4,24.0%,6,22.1%,67,402,3,527,4,20,79%,1
D. Montgomery,CHI,6,113,3,136,15,14.1%,8,19.9%,68,438,4,522,2,19,79%,1
A. Ekeler,LAC,7,111,7,119,14,16.6%,13,18.7%,65,403,7,492,2,7,83%,0
C. Carson,SEA,8,108,8,95,6,23.5%,10,19.1%,46,287,9,428,4,16,80%,0
D. Swift,DET,9,94,12,70,13,17.1%,16,9.4%,57,357,10,410,2,14,81%,1
J. McKinnon,SF,10,83,10,79,7,22.7%,7,20.8%,46,253,15,335,1,35,72%,0
J. Taylor,IND,11,76,9,88,8,22.2%,3,27.6%,39,299,19,309,1,1,92%,0
K. Johnson,DET,12,72,13,69,2,37.1%,2,35.0%,26,187,24,248,1,32,73%,0
K. Juszczyk,SF,13,66,16,60,9,22.0%,12,18.8%,29,202,22,269,4,45,66%,1
J. White,NE,14,66,14,68,20,6.0%,21,6.8%,62,375,12,371,1,21,79%,0
J. Williams,GB,15,58,21,47,16,14.0%,17,8.7%,35,236,21,269,1,2,89%,0
D. Cook,MIN,16,58,18,53,21,5.9%,23,4.3%,54,361,16,325,1,11,81%,1
M. Davis,CAR,17,55,20,48,26,0.2%,28,-1.7%,70,373,11,394,2,5,84%,0
J. Robinson,JAX,18,50,11,71,25,1.2%,20,7.4%,60,344,14,342,3,10,82%,1
L. Murray,NO,19,48,22,46,10,21.6%,9,19.7%,26,176,30,193,1,3,88%,0
D. Henderson,LAR,20,43,25,38,12,17.2%,14,13.8%,25,159,31,186,1,42,67%,0
R. Burkhead,NE,21,42,19,50,18,8.4%,15,12.5%,33,192,25,224,3,27,76%,0
G. Bernard,CIN,22,40,17,57,28,-1.8%,24,3.5%,59,355,18,320,3,18,80%,0
B. Scott,PHI,23,40,24,39,19,8.2%,19,7.5%,36,212,27,213,1,40,69%,0
D. Johnson,HOU,24,39,27,34,27,0.1%,27,-1.6%,46,314,20,280,2,35,72%,2
E. Elliott,DAL,25,35,29,31,32,-5.2%,33,-6.0%,71,338,13,359,2,31,73%,1
J. Wilson,SF,26,32,31,26,17,8.9%,22,4.5%,28,133,35,169,3,50,46%,0
D. Singletary,BUF,27,32,26,35,29,-2.2%,26,-1.0%,50,269,23,263,0,26,76%,0
J. McKissic,WAS,28,30,15,67,37,-9.0%,30,-3.2%,110,589,6,505,2,33,73%,2
D. Johnson,HOU,29,30,23,43,24,1.4%,18,8.0%,35,249,29,202,1,17,80%,1
A. Jones,GB,30,30,28,32,33,-5.6%,32,-5.2%,63,355,17,321,2,28,75%,1
B. Hill,ATL,31,29,32,26,22,3.7%,25,2.0%,30,199,33,177,0,6,83%,1
D. Lewis,NYG,32,25,33,15,23,1.9%,31,-4.3%,30,127,36,164,1,47,63%,0
J. Jacobs,LV,33,20,30,27,31,-5.2%,29,-2.2%,45,238,28,208,0,30,73%,0
J. Mixon,CIN,34,13,36,10,30,-4.8%,34,-6.6%,26,138,38,132,1,13,81%,0
T. Pollard,DAL,35,12,37,10,35,-8.3%,35,-9.3%,40,193,32,183,1,38,70%,0
