Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
K. Hinton,DEN,-98,-114,-222.2%,-255.7%,0.1,10,12,-96,0,0,0,2,11.1%,0/0,5.3
M. Glennon,JAX,-105,-106,-19.8%,-19.9%,37,186,988,831,7,0,1,5,63.4%,1/12,1.0
J. Stidham,NE,-123,-153,-50.5%,-59.9%,16.4,48,235,84,2,0,0,3,50.0%,1/16,-3.2
B. Allen,CIN,-125,-55,-23.9%,-16.8%,44.8,149,860,621,5,0,1,4,63.8%,4/43,1.3
R. Griffin,BAL,-127,-150,-147.5%,-173.0%,25.4,17,22,-98,0,0,0,2,57.1%,0/0,-3.0
C. McCoy,NYG,-132,-102,-40.7%,-34.0%,36,71,351,179,1,0,1,1,60.6%,0/0,4.5
B. Rypien,DEN,-143,-128,-63.0%,-57.4%,57.8,41,285,27,2,1,0,4,69.2%,1/8,2.5
R. Finley,CIN,-167,-214,-82.9%,-103.2%,49.3,41,101,-37,1,0,0,2,53.1%,0/0,5.8
B. DiNucci,DAL,-199,-179,-78.0%,-71.3%,13.5,49,146,-31,0,1,2,0,54.8%,1/8,0.4
P. Walker,CAR,-217,-180,-71.1%,-61.0%,12.6,60,337,-4,1,0,0,5,57.1%,0/0,2.7
J. Luton,JAX,-287,-315,-48.6%,-52.3%,40.6,117,572,226,2,2,0,6,54.6%,3/20,2.6

Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Runs,Yards,EYds Rank,EYds,TD,FUM
K. Murray,ARI,1,186,1,141,12,15.8%,13,9.0%,124,834,1,901,11,5
R. Tannehill,TEN,2,127,2,134,2,49.3%,2,52.4%,35,254,5,448,7,1
R. Wilson,SEA,3,99,3,92,9,21.3%,7,18.9%,66,515,6,441,2,4
J. Allen,BUF,4,74,6,69,18,3.0%,18,2.0%,80,441,4,521,8,4
S. Darnold,NYJ,5,72,5,76,3,35.3%,3,37.8%,30,224,11,280,2,0
L. Jackson,BAL,6,69,4,85,21,-3.6%,22,-1.6%,151,1003,2,750,7,5
D. Jones,NYG,7,67,11,43,11,16.2%,15,6.1%,51,433,9,335,1,3
C. Wentz,PHI,8,62,10,47,14,9.2%,16,4.2%,50,261,8,357,5,3
K. Cousins,MIN,9,57,8,51,6,26.3%,4,22.5%,24,163,14,239,1,1
M. Mariota,LV,10,48,9,50,1,76.2%,1,80.3%,9,88,24,152,1,0
D. Prescott,DAL,11,46,14,32,4,33.3%,6,19.6%,17,94,19,174,3,0
P. Mahomes,KC,12,44,7,57,16,6.0%,11,11.2%,47,314,13,265,2,2
C. Newton,NE,13,44,16,30,23,-6.4%,25,-8.1%,125,572,3,654,12,5
T. Bridgewater,CAR,14,43,18,26,15,6.6%,20,-0.9%,45,279,12,270,5,4
M. Stafford,DET,15,42,15,32,8,23.0%,10,14.2%,21,122,18,184,0,0
R. Fitzpatrick,MIA,16,39,13,41,13,14.6%,8,16.3%,24,156,17,195,2,0
J. Brissett,IND,17,27,17,30,10,18.0%,5,22.1%,11,23,28,127,3,0
A. Dalton,DAL,18,24,26,6,17,5.2%,24,-8.1%,24,116,21,158,0,1
A. Rodgers,GB,19,24,20,22,19,2.9%,17,2.0%,29,144,20,172,3,3
R. Finley,CIN,20,20,23,11,7,23.0%,14,6.8%,10,68,31,73,1,0
T. Tagovailoa,MIA,21,18,12,42,20,-0.9%,9,14.4%,27,120,22,156,3,0
R. Griffin,BAL,22,16,24,9,5,27.1%,12,10.3%,8,73,32,68,0,1
B. Mayfield,CLE,23,13,28,1,24,-6.8%,28,-11.9%,39,174,15,202,1,3
G. Minshew,JAX,24,11,21,15,22,-4.2%,21,-1.2%,27,156,29,126,1,1
M. Trubisky,CHI,25,9,19,22,25,-7.0%,19,0.1%,33,195,23,155,1,1
D. Carr,LV,26,3,27,6,26,-10.8%,26,-9.3%,31,144,25,151,3,3
T. Hill,NO,27,2,36,-28,27,-11.8%,30,-17.2%,87,449,7,403,8,7
D. Haskins,WAS,28,-4,32,-14,32,-16.2%,34,-27.6%,13,57,34,55,1,1
J. Goff,LAR,29,-6,33,-22,28,-14.8%,33,-22.3%,34,115,26,141,4,2
D. Lock,DEN,30,-8,22,11,31,-16.0%,23,-6.6%,36,167,27,129,3,4
J. Hurts,PHI,31,-9,35,-25,30,-15.2%,32,-20.2%,60,350,16,199,3,6
D. Watson,HOU,32,-12,25,7,29,-14.9%,27,-10.6%,80,439,10,296,3,4
B. Allen,CIN,33,-14,31,-12,36,-31.8%,35,-28.4%,11,29,36,20,0,0
M. Ryan,ATL,34,-21,30,-9,34,-30.3%,31,-19.5%,20,98,35,38,2,2
T. Brady,TB,35,-22,34,-24,37,-37.6%,37,-40.4%,13,12,37,12,3,3
J. Herbert,LAC,36,-29,29,-6,33,-23.2%,29,-14.4%,45,223,30,124,5,4
J. Burrow,CIN,37,-43,37,-39,35,-31.8%,36,-30.3%,33,119,33,58,3,4
B. Roethlisberger,PIT,38,-49,38,-46,38,-112.2%,38,-106.6%,9,14,38,-79,0,3

