Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
T. Hill,KC,3,73,2,82,6,53.7%,2,63.9%,13,123,2,0
C. Patterson,CHI,4,67,1,83,18,-20.6%,16,-16.2%,64,232,1,0
C. Lamb,DAL,5,62,6,57,2,66.2%,4,57.3%,10,82,1,0
B. Aiyuk,SF,6,61,5,57,1,138.6%,1,127.2%,6,77,2,0
D. Moore,SEA,7,47,8,40,5,57.6%,8,43.2%,8,61,0,0
L. Shenault,JAX,8,45,7,46,12,4.6%,12,5.0%,18,91,0,0
D. Harris,NO,9,33,9,31,4,59.9%,5,52.9%,6,51,0,0
T. Boyd,CIN,10,31,10,30,3,66.0%,3,61.2%,5,49,0,0
S. Shepard,NYG,11,27,11,28,7,42.6%,6,46.5%,6,49,1,0
88-E.Engram,NYG,12,23,15,18,11,9.4%,14,-1.2%,6,26,1,0
J. Reed,LAC,13,22,12,27,10,29.6%,7,45.7%,5,29,1,0
T. Higgins,CIN,14,19,14,18,8,32.3%,9,29.5%,5,28,0,0
L. Bowden,MIA,15,18,13,23,15,2.7%,11,13.7%,9,32,0,0
D. Harris,IND,16,15,16,16,13,3.2%,13,5.0%,6,46,0,0
K. Hamler,DEN,17,15,17,11,17,-10.4%,17,-16.5%,9,40,0,0
C. Claypool,PIT,18,8,18,8,20,-29.0%,20,-28.9%,10,16,2,0
G. Olszewski,NE,19,8,20,5,16,-8.5%,18,-19.7%,5,23,0,0
A. Cooper,DAL,20,3,22,-2,19,-27.6%,22,-43.8%,6,14,0,0
H. Ruggs,LV,21,1,21,2,21,-36.6%,21,-34.6%,9,49,0,1
D. Samuel,SF,22,1,19,6,22,-37.5%,19,-26.6%,8,26,0,0
C. Ridley,ATL,23,-8,23,-7,24,-77.7%,24,-75.1%,5,1,0,0
A. Erickson,CIN,24,-15,24,-15,25,-85.4%,25,-83.3%,5,7,0,1
I. McKenzie,BUF,25,-22,25,-15,23,-77.3%,23,-66.3%,10,9,0,0

